,User,listed_count,followers_count,text,retweets,favorites
41,HappyinaMini,49,1150,"RT @GeorgeTakei: Overheard this new title for Trump: SCROTUS. The ""So-Called Ruler of the United States.""",7151,0
42,bibiadriano,4,88,RT @AmoedoCom: Otro muro de la vergüenza :21.600 millones de dolares costará el muro propuesto por Trump  https://t.co/khYcyAW1ln vía @nuev…,130,0
43,Charlie52150740,20,322,RT @uglyone: Trump’s Currency War Against Germany Could Destroy the EU | Foreign Policy https://t.co/yfoB6JvNXO,2,0
44,jjbr00,101,4586,RT @TimRunsHisMouth: This is the most brilliant meme I've seen about the Betsy DeVos protesters. #Trump https://t.co/VVtmNh96in,1013,0
45,rosaleewaight,55,445,"RT @BraddJaffy: “I think to say that we're in control would be a substantial understatement,” Trump aide Stephen Miller says on CBS https:/…",137,0
46,SerafiniFran,4,406,"RT @thehill: Hezbollah leader: ""Idiot"" Trump in White House makes us optimistic https://t.co/Li1t0ETzxW https://t.co/hK2Uz6rPV3",171,0
47,SarahnitySeeker,7,163,"RT @ParaComedian09: Sean Spicer: ""I'm tired of everyone thinking I'm the biggest idiot in Trump's circle.""

Stephen Miller: ""Hold my beer.""",876,0
48,LansdaleForever,27,1190,"RT @itsgnatt: So tax payers are spending $3m  for Trumps vacation and $600m for Melania to live in New York?

@ Trump supporters, https://t…",147,0
49,Enrico056,165,2628,"RT @celeb_voices: .@ChloeGMoretz: ""Donald Trump is a joke for America, it makes us look  silly."" https://t.co/eCqjGlt306",206,0
50,NotBenCassidy,4,85,RT @shannoncoulter: Reminder: the U.S. citizens who voted against hate generate two thirds of this nation's economic activity. https://t.co…,99,0
51,NO_ACP,31,548,RT @powershiftnet: Turns out that people on all sides of the political spectrum want to save the planet. #climatefacts https://t.co/JMoYT8H…,1,0
52,petpanther0,391,3273,"RT @NinaByzantina: Lavrov made a reasonable point: if the Trump admin is serious about fighting terrorism, then it can't exclude Iran. @Osm…",1,0
53,noliasouljah,1,17,"RT @imillhiser: I feel like tweeting this pic of Trump's tiny, inadequate crowds at @realDonaldTrump for no particular reason. https://t.co…",295,0
54,dkrice333,3,19,"RT @NickKristof: As Trump goes berserk over immigration, my column compares the risk from terrorism and from guns: https://t.co/hQ3xhlPt2q…",246,0
55,AnnHarris29,74,1013,Democratic lawmakers want probe of Trump adviser's Russia payment - Reuters https://t.co/1CJIXxcayb,0,0
56,carolinelv,99,1727,"Newt Gingrich, Donald Trump Is Smarter Than CORRUPT MEDIA https://t.co/OyStzkFTZU via @YouTube",0,0
57,Hyranger1,4,256,@FoxNews @realDonaldTrump If Pres Trump was giving out gold bars the left would complain. They r head strong in their ignorance. Childlike.,0,0
58,Bilquis66,51,655,Saudi Arabia foots bill at Trump Hotel days after inauguration https://t.co/BC7ALvgiuR via @WBJonline,0,0
59,DiarioEncuentro,48,2706,"""Espero puedas oír la voz de millones de mexicanos"", dice Fox a Trump https://t.co/DMFgOTkgj7",0,0
60,DragoEldur,12,109,RT @foxnation: .@SenFranken To @realDonaldTrump: Calling @SenWarren Pocahontas Is ‘Racist' https://t.co/LDkr9Leu0g,12,0
61,dwoodrum,26,1817,"RT @VoteTrumpPics: TRUMP TWITTER RALLY🚨

Join us at #CongressDoYourJOB

Monday Feb 13 • 7-8pm ET

Tweet &amp; RT to let congress know it's time…",3124,0
62,SlacktivistFred,54,2176,RT @TUSK81: Trump staffer (and @GovMikeHuckabee's daughter) tells a completely fictional voter fraud story from her home state. https://t.c…,86,0
63,OldCoastie54,26,555,RT @davidsirota: EXCLUSIVE: Docs show Trump Labor Secretary nominee owes big money to convicted bank that’s seeking Labor Dept waiver https…,154,0
64,horvagai,40,2055,Trump's Newest Senior Adviser Seen as a White Nationalist Ally | Mother Jones https://t.co/5pDhqOUAdX,0,0
65,newenglishwoman,75,1114,"@bookdal fucking disgusting, racist asshole. Which we knew, but these are the ppl that are happy about Trump? Wtf is our country coming to?",0,0
66,ERDEMAVCI1905,1,198,"RT @abdullahciftcib: 28-Trump'un Suriye'de güvenli bölgesi;
İsrail'in istediği PKK Devletçiği 
ve
Küreselcilerin de PKK koridoru/Enerji hat…",135,0
67,shanekaiglenn,23,310,"RT @jonfavs: Stephen Miller said it's an undisputed fact that 14% of non-citizens are registered to vote.

He lied: https://t.co/gOHd34FnaR",5802,0
68,jewwjewjwww,1,4,RT @TomPJDavis: Trump-Lax; The number one remedy to help ease the pain associated with all of the shit that Trump says  (or writes on Twitt…,33,0
69,KathyStricker2,14,878,"RT @Conversationbug: I WANT 2 &amp; AM COMMITTED 2 BEING ON THE ""IMPEACH TRUMP,"" SIDE OF HISTORY. I BELIEVE IT'S WHERE THE ANGELS R RESIDING RI…",1,0
70,EmilskisLowmane,2,247,"RT @queentrash__: High school teachers: I'm not going to share my political beliefs, it's unprofessional 
College Profs: what is the square…",95308,0
71,RhymNReason,2,56,"""It's my birthday! Won't #Trump gift me a present? He could #resign! That'd be nice."" - #AbrahamLincoln",0,0
72,Thor_2000,455,7489,"RT @JonRiley7: ICYMI: SNL put Donald Trump in ""the People's Court"" last night. Too funny. Here's the full video:
https://t.co/moLe5CKEVf",25,0
